Category,Resume
Full Stack Developer,"Skills: React, JavaScript, HTML/CSS, SQL. Experience: Worked on 2 projects in Full Stack Developer. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: Developed an e-commerce website using MERN stack with full CRUD functionality. Built a task management application with real-time notifications using WebSockets. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: 'E-commerce Website', 'Real-time Task Manager'. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree."
Front End Developer,"Skills: JavaScript, Web Accessibility, React, UI/UX Design. Experience: Worked on 3 projects in Front End Developer."
Software Developer,"Skills: Python, Algorithms, Java, Data Structures. Experience: Worked on 5 projects in Software Developer."
System Administrator,"Skills: Server Management, Linux, Scripting, Windows. Experience: Worked on 2 projects in System Administrator."
Cybersecurity Specialist,"Skills: SIEM, Penetration Testing, Network Security, Encryption. Experience: Worked on 2 projects in Cybersecurity Specialist."
IT Support Specialist,"Skills: Active Directory, Help Desk, Troubleshooting, Customer Support. Experience: Worked on 2 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
Data Scientist,"Skills: Statistics, Machine Learning, Data Analysis, R. Experience: Worked on 2 projects in Data Scientist. Additional Skills: Python, R, Machine Learning, Big Data. Projects: 'Customer Churn Prediction', 'Sentiment Analysis on Social Media'. Certifications: Certified Data Scientist, Machine Learning Expert."
Front End Developer,"Skills: Web Accessibility, JavaScript, HTML/CSS, React. Experience: Worked on 2 projects in Front End Developer."
Data Scientist,"Skills: R, Python, Statistics, Machine Learning. Experience: Worked on 3 projects in Data Scientist. Additional Skills: Python, R, Machine Learning, Big Data. Projects: 'Customer Churn Prediction', 'Sentiment Analysis on Social Media'. Certifications: Certified Data Scientist, Machine Learning Expert."
Back End Developer,"Skills: Security Best Practices, Python, API Development, Node.js. Experience: Worked on 4 projects in Back End Developer."
Cybersecurity Specialist,"Skills: Firewalls, SIEM, Encryption, Penetration Testing. Experience: Worked on 2 projects in Cybersecurity Specialist."
AI/ML Engineer,"Skills: Python, Keras, Neural Networks, Deep Learning. Experience: Worked on 5 projects in AI/ML Engineer. Additional Skills: TensorFlow, Keras, Natural Language Processing. Projects: 'AI-Based Image Recognition', 'NLP Chatbot Development'. Certifications: Certified AI Engineer, Machine Learning Nanodegree."
Cybersecurity Specialist,"Skills: Firewalls, Penetration Testing, Network Security, SIEM. Experience: Worked on 3 projects in Cybersecurity Specialist."
DevSecOps Engineer,"Skills: Docker, Kubernetes, Security Testing, Compliance. Experience: Worked on 4 projects in DevSecOps Engineer."
IT Support Specialist,"Skills: Help Desk, Ticketing Systems, Active Directory, Troubleshooting. Experience: Worked on 3 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
QA Engineer,"Skills: Selenium, JIRA, Automation Testing, Bug Tracking. Experience: Worked on 4 projects in QA Engineer."
DevSecOps Engineer,"Skills: Cloud Security, Security Testing, Kubernetes, Compliance. Experience: Worked on 2 projects in DevSecOps Engineer."
Technical Writer,"Skills: Research, Documentation, Editing, Technical Writing. Experience: Worked on 4 projects in Technical Writer."
IT Support Specialist,"Skills: Ticketing Systems, Help Desk, Troubleshooting, Customer Support. Experience: Worked on 4 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
Release Manager,"Skills: Deployment, Risk Management, Version Control, CI/CD Pipelines. Experience: Worked on 5 projects in Release Manager."
Business Analyst,"Skills: Power BI, Data Analysis, SQL, Business Intelligence. Experience: Worked on 5 projects in Business Analyst."
Product Manager,"Skills: Stakeholder Management, Market Analysis, Agile, Scrum. Experience: Worked on 3 projects in Product Manager. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: Led a team to launch a new mobile application, resulting in a 25% increase in customer retention. Managed a cross-functional team to develop a SaaS product that improved workflow efficiency by 30%. Certifications: Certified Scrum Master, PMP. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: 'Mobile Application Launch', 'SaaS Workflow Efficiency Platform'. Certifications: Certified Scrum Master, PMP."
AI/ML Engineer,"Skills: TensorFlow, Neural Networks, Python, Deep Learning. Experience: Worked on 3 projects in AI/ML Engineer. Additional Skills: TensorFlow, Keras, Natural Language Processing. Projects: 'AI-Based Image Recognition', 'NLP Chatbot Development'. Certifications: Certified AI Engineer, Machine Learning Nanodegree."
Network Engineer,"Skills: Network Security, Routing and Switching, Cisco, TCP/IP. Experience: Worked on 4 projects in Network Engineer. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: Designed and implemented a secure VPN for a global organization. Optimized network infrastructure, reducing latency by 20%. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: 'VPN Implementation for Global Organization', 'Network Latency Optimization'. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate."
IT Support Specialist,"Skills: Troubleshooting, Customer Support, Help Desk, Active Directory. Experience: Worked on 5 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
Product Manager,"Skills: Stakeholder Management, Agile, Scrum, Product Roadmap. Experience: Worked on 3 projects in Product Manager. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: Led a team to launch a new mobile application, resulting in a 25% increase in customer retention. Managed a cross-functional team to develop a SaaS product that improved workflow efficiency by 30%. Certifications: Certified Scrum Master, PMP. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: 'Mobile Application Launch', 'SaaS Workflow Efficiency Platform'. Certifications: Certified Scrum Master, PMP."
Solutions Architect,"Skills: DevOps, Microservices, Cloud Architecture, System Design. Experience: Worked on 2 projects in Solutions Architect."
System Administrator,"Skills: Networking, Windows, Scripting, Server Management. Experience: Worked on 3 projects in System Administrator."
DevSecOps Engineer,"Skills: Kubernetes, Compliance, Security Testing, Docker. Experience: Worked on 2 projects in DevSecOps Engineer."
Product Manager,"Skills: Stakeholder Management, Agile, Product Roadmap, Scrum. Experience: Worked on 3 projects in Product Manager. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: Led a team to launch a new mobile application, resulting in a 25% increase in customer retention. Managed a cross-functional team to develop a SaaS product that improved workflow efficiency by 30%. Certifications: Certified Scrum Master, PMP. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: 'Mobile Application Launch', 'SaaS Workflow Efficiency Platform'. Certifications: Certified Scrum Master, PMP."
Release Manager,"Skills: Deployment, Release Automation, Version Control, Risk Management. Experience: Worked on 2 projects in Release Manager."
DevOps Engineer,"Skills: Kubernetes, CI/CD, Jenkins, Docker. Experience: Worked on 3 projects in DevOps Engineer. Additional Skills: CI/CD Pipelines, Jenkins, Kubernetes, Docker. Projects: 'Automated Deployment Pipeline', 'Cloud Infrastructure Setup'. Certifications: AWS Certified DevOps Engineer, Docker Certified Associate."
Software Developer,"Skills: Python, Data Structures, Algorithms, C++. Experience: Worked on 5 projects in Software Developer."
IT Support Specialist,"Skills: Active Directory, Ticketing Systems, Help Desk, Customer Support. Experience: Worked on 5 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
DevOps Engineer,"Skills: Jenkins, Docker, CI/CD, Kubernetes. Experience: Worked on 3 projects in DevOps Engineer. Additional Skills: CI/CD Pipelines, Jenkins, Kubernetes, Docker. Projects: 'Automated Deployment Pipeline', 'Cloud Infrastructure Setup'. Certifications: AWS Certified DevOps Engineer, Docker Certified Associate."
Full Stack Developer,"Skills: JavaScript, SQL, Node.js, HTML/CSS. Experience: Worked on 2 projects in Full Stack Developer. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: Developed an e-commerce website using MERN stack with full CRUD functionality. Built a task management application with real-time notifications using WebSockets. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: 'E-commerce Website', 'Real-time Task Manager'. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree."
Database Administrator,"Skills: Data Modeling, SQL, Backup and Recovery, Oracle. Experience: Worked on 2 projects in Database Administrator. Additional Skills: SQL, Oracle, Database Performance Tuning, Backup & Recovery. Projects: 'Database Migration for E-commerce', 'High Availability Database Setup'. Certifications: Oracle Certified Professional, Microsoft Certified Database Administrator."
Network Engineer,"Skills: Routing and Switching, Networking Protocols, TCP/IP, Network Security. Experience: Worked on 3 projects in Network Engineer. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: Designed and implemented a secure VPN for a global organization. Optimized network infrastructure, reducing latency by 20%. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: 'VPN Implementation for Global Organization', 'Network Latency Optimization'. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate."
Front End Developer,"Skills: Web Accessibility, UI/UX Design, JavaScript, HTML/CSS. Experience: Worked on 4 projects in Front End Developer."
Data Scientist,"Skills: Statistics, Data Analysis, R, Python. Experience: Worked on 4 projects in Data Scientist. Additional Skills: Python, R, Machine Learning, Big Data. Projects: 'Customer Churn Prediction', 'Sentiment Analysis on Social Media'. Certifications: Certified Data Scientist, Machine Learning Expert."
Full Stack Developer,"Skills: HTML/CSS, SQL, Node.js, React. Experience: Worked on 5 projects in Full Stack Developer. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: Developed an e-commerce website using MERN stack with full CRUD functionality. Built a task management application with real-time notifications using WebSockets. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: 'E-commerce Website', 'Real-time Task Manager'. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree."
DevOps Engineer,"Skills: Kubernetes, Jenkins, AWS, Docker. Experience: Worked on 3 projects in DevOps Engineer. Additional Skills: CI/CD Pipelines, Jenkins, Kubernetes, Docker. Projects: 'Automated Deployment Pipeline', 'Cloud Infrastructure Setup'. Certifications: AWS Certified DevOps Engineer, Docker Certified Associate."
Network Engineer,"Skills: Routing and Switching, Networking Protocols, Network Security, Cisco. Experience: Worked on 4 projects in Network Engineer. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: Designed and implemented a secure VPN for a global organization. Optimized network infrastructure, reducing latency by 20%. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: 'VPN Implementation for Global Organization', 'Network Latency Optimization'. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate."
Product Manager,"Skills: Scrum, Stakeholder Management, Market Analysis, Product Roadmap. Experience: Worked on 4 projects in Product Manager. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: Led a team to launch a new mobile application, resulting in a 25% increase in customer retention. Managed a cross-functional team to develop a SaaS product that improved workflow efficiency by 30%. Certifications: Certified Scrum Master, PMP. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: 'Mobile Application Launch', 'SaaS Workflow Efficiency Platform'. Certifications: Certified Scrum Master, PMP."
Full Stack Developer,"Skills: JavaScript, React, SQL, HTML/CSS. Experience: Worked on 3 projects in Full Stack Developer. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: Developed an e-commerce website using MERN stack with full CRUD functionality. Built a task management application with real-time notifications using WebSockets. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree. Additional Skills: REST APIs, MongoDB, Git, Docker. Projects: 'E-commerce Website', 'Real-time Task Manager'. Certifications: AWS Certified Developer, Full-Stack Web Developer Nanodegree."
DevOps Engineer,"Skills: Kubernetes, Jenkins, AWS, CI/CD. Experience: Worked on 2 projects in DevOps Engineer. Additional Skills: CI/CD Pipelines, Jenkins, Kubernetes, Docker. Projects: 'Automated Deployment Pipeline', 'Cloud Infrastructure Setup'. Certifications: AWS Certified DevOps Engineer, Docker Certified Associate."
Database Administrator,"Skills: Database Tuning, Backup and Recovery, Data Modeling, Oracle. Experience: Worked on 2 projects in Database Administrator. Additional Skills: SQL, Oracle, Database Performance Tuning, Backup & Recovery. Projects: 'Database Migration for E-commerce', 'High Availability Database Setup'. Certifications: Oracle Certified Professional, Microsoft Certified Database Administrator."
Release Manager,"Skills: CI/CD Pipelines, Version Control, Release Automation, Risk Management. Experience: Worked on 5 projects in Release Manager."
Data Scientist,"Skills: Python, Machine Learning, Statistics, R. Experience: Worked on 3 projects in Data Scientist. Additional Skills: Python, R, Machine Learning, Big Data. Projects: 'Customer Churn Prediction', 'Sentiment Analysis on Social Media'. Certifications: Certified Data Scientist, Machine Learning Expert."
Software Developer,"Skills: Algorithms, C++, Java, Python. Experience: Worked on 5 projects in Software Developer."
DevSecOps Engineer,"Skills: Security Testing, Compliance, Kubernetes, Cloud Security. Experience: Worked on 5 projects in DevSecOps Engineer."
Network Engineer,"Skills: Cisco, Networking Protocols, Routing and Switching, TCP/IP. Experience: Worked on 3 projects in Network Engineer. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: Designed and implemented a secure VPN for a global organization. Optimized network infrastructure, reducing latency by 20%. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate. Additional Skills: Firewall Configuration, Network Optimization, BGP, OSPF. Projects: 'VPN Implementation for Global Organization', 'Network Latency Optimization'. Certifications: Cisco Certified Network Professional (CCNP), Juniper Networks Certified Associate."
Front End Developer,"Skills: HTML/CSS, JavaScript, Web Accessibility, UI/UX Design. Experience: Worked on 3 projects in Front End Developer."
DevOps Engineer,"Skills: AWS, Docker, Jenkins, CI/CD. Experience: Worked on 4 projects in DevOps Engineer. Additional Skills: CI/CD Pipelines, Jenkins, Kubernetes, Docker. Projects: 'Automated Deployment Pipeline', 'Cloud Infrastructure Setup'. Certifications: AWS Certified DevOps Engineer, Docker Certified Associate."
IT Support Specialist,"Skills: Ticketing Systems, Customer Support, Troubleshooting, Active Directory. Experience: Worked on 4 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
QA Engineer,"Skills: Selenium, JIRA, Bug Tracking, Automation Testing. Experience: Worked on 4 projects in QA Engineer."
Cloud Engineer,"Skills: Google Cloud, Azure, Virtualization, Cloud Security. Experience: Worked on 4 projects in Cloud Engineer. Additional Skills: AWS, Azure, GCP, Cloud Security. Projects: 'Multi-Cloud Architecture Setup', 'Cost Optimization in Cloud Resources'. Certifications: AWS Certified Solutions Architect, Google Cloud Professional Cloud Architect."
Business Analyst,"Skills: Excel, Data Analysis, Power BI, Business Intelligence. Experience: Worked on 5 projects in Business Analyst."
DevOps Engineer,"Skills: Docker, Kubernetes, Jenkins, AWS. Experience: Worked on 2 projects in DevOps Engineer. Additional Skills: CI/CD Pipelines, Jenkins, Kubernetes, Docker. Projects: 'Automated Deployment Pipeline', 'Cloud Infrastructure Setup'. Certifications: AWS Certified DevOps Engineer, Docker Certified Associate."
Back End Developer,"Skills: Node.js, API Development, Database Management, Security Best Practices. Experience: Worked on 2 projects in Back End Developer."
Technical Writer,"Skills: Editing, API Documentation, Documentation, Research. Experience: Worked on 5 projects in Technical Writer."
System Administrator,"Skills: Server Management, Networking, Windows, Linux. Experience: Worked on 4 projects in System Administrator."
Cloud Engineer,"Skills: AWS, Virtualization, Azure, Cloud Security. Experience: Worked on 3 projects in Cloud Engineer. Additional Skills: AWS, Azure, GCP, Cloud Security. Projects: 'Multi-Cloud Architecture Setup', 'Cost Optimization in Cloud Resources'. Certifications: AWS Certified Solutions Architect, Google Cloud Professional Cloud Architect."
Software Developer,"Skills: Algorithms, Java, C++, Data Structures. Experience: Worked on 3 projects in Software Developer."
System Administrator,"Skills: Windows, Server Management, Networking, Linux. Experience: Worked on 3 projects in System Administrator."
DevSecOps Engineer,"Skills: Docker, Security Testing, Kubernetes, Cloud Security. Experience: Worked on 5 projects in DevSecOps Engineer."
Front End Developer,"Skills: UI/UX Design, Web Accessibility, JavaScript, React. Experience: Worked on 3 projects in Front End Developer."
AI/ML Engineer,"Skills: Neural Networks, Keras, Deep Learning, TensorFlow. Experience: Worked on 4 projects in AI/ML Engineer. Additional Skills: TensorFlow, Keras, Natural Language Processing. Projects: 'AI-Based Image Recognition', 'NLP Chatbot Development'. Certifications: Certified AI Engineer, Machine Learning Nanodegree."
Release Manager,"Skills: Deployment, Version Control, Release Automation, Risk Management. Experience: Worked on 3 projects in Release Manager."
Product Manager,"Skills: Agile, Stakeholder Management, Market Analysis, Product Roadmap. Experience: Worked on 3 projects in Product Manager. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: Led a team to launch a new mobile application, resulting in a 25% increase in customer retention. Managed a cross-functional team to develop a SaaS product that improved workflow efficiency by 30%. Certifications: Certified Scrum Master, PMP. Additional Skills: Agile Methodology, Product Lifecycle Management, Data-Driven Decision Making. Projects: 'Mobile Application Launch', 'SaaS Workflow Efficiency Platform'. Certifications: Certified Scrum Master, PMP."
Cybersecurity Specialist,"Skills: Firewalls, Network Security, Encryption, Penetration Testing. Experience: Worked on 3 projects in Cybersecurity Specialist."
Database Administrator,"Skills: Data Modeling, Oracle, SQL, Backup and Recovery. Experience: Worked on 4 projects in Database Administrator. Additional Skills: SQL, Oracle, Database Performance Tuning, Backup & Recovery. Projects: 'Database Migration for E-commerce', 'High Availability Database Setup'. Certifications: Oracle Certified Professional, Microsoft Certified Database Administrator."
Release Manager,"Skills: Release Automation, Deployment, Risk Management, CI/CD Pipelines. Experience: Worked on 5 projects in Release Manager."
Solutions Architect,"Skills: DevOps, Cloud Architecture, System Design, Microservices. Experience: Worked on 2 projects in Solutions Architect."
IT Support Specialist,"Skills: Customer Support, Active Directory, Troubleshooting, Ticketing Systems. Experience: Worked on 5 projects in IT Support Specialist. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: Implemented a company-wide software upgrade for over 200 employees. Resolved critical network issues leading to a 15% reduction in downtime. Certifications: CompTIA A+, Microsoft Certified IT Professional. Additional Skills: Windows Server, Linux Administration, VPN Configuration. Projects: 'Company-Wide Software Upgrade', 'Network Issue Resolution'. Certifications: CompTIA A+, Microsoft Certified IT Professional."
AI/ML Engineer,"Skills: Deep Learning, Neural Networks, Keras, TensorFlow. Experience: Worked on 2 projects in AI/ML Engineer. Additional Skills: TensorFlow, Keras, Natural Language Processing. Projects: 'AI-Based Image Recognition', 'NLP Chatbot Development'. Certifications: Certified AI Engineer, Machine Learning Nanodegree."
DevSecOps Engineer,"Skills: Docker, Security Testing, Compliance, Kubernetes. Experience: Worked on 2 projects in DevSecOps Engineer."
Back End Developer,"Skills: Security Best Practices, Node.js, Python, API Development. Experience: Worked on 2 projects in Back End Developer."
AI/ML Engineer,"Skills: Python, Deep Learning, Neural Networks, TensorFlow. Experience: Worked on 2 projects in AI/ML Engineer. Additional Skills: TensorFlow, Keras, Natural Language Processing. Projects: 'AI-Based Image Recognition', 'NLP Chatbot Development'. Certifications: Certified AI Engineer, Machine Learning Nanodegree."
Back End Developer,"Skills: API Development, Security Best Practices, Database Management, Node.js. Experience: Worked on 2 projects in Back End Developer."
System Administrator,"Skills: Networking, Scripting, Server Management, Linux. Experience: Worked on 5 projects in System Administrator."
Back End Developer,"Skills: Database Management, Security Best Practices, API Development, Python. Experience: Worked on 4 projects in Back End Developer."
Solutions Architect,"Skills: System Design, DevOps, Cloud Platforms, Cloud Architecture. Experience: Worked on 5 projects in Solutions Architect."
System Administrator,"Skills: Networking, Server Management, Linux, Scripting. Experience: Worked on 5 projects in System Administrator."
System Administrator,"Skills: Scripting, Windows, Networking, Linux. Experience: Worked on 5 projects in System Administrator."
Software Developer,"Skills: Algorithms, C++, Java, Data Structures. Experience: Worked on 5 projects in Software Developer."
AI/ML Engineer,"Skills: Python, Neural Networks, TensorFlow, Keras. Experience: Worked on 2 projects in AI/ML Engineer. Additional Skills: TensorFlow, Keras, Natural Language Processing. Projects: 'AI-Based Image Recognition', 'NLP Chatbot Development'. Certifications: Certified AI Engineer, Machine Learning Nanodegree."
