Category,Resume,cleaned_resume,stemmed_resume
IT Support Specialist,"Skills: Microservices, C++, Network Administration, PostgreSQL, TensorFlow. Experience: 3 months of experience as a junior backend developer. Internships: Internship in frontend development at a digital marketing agency. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Microsoft Certified: Azure Fundamentals.",skill microservice c network administration postgresql tensorflow experience   month experience junior backend developer internship internship frontend development digital marketing agency project develop userfriendly dashboard power bi certification microsoft certify azure fundamental,skill microservic c network administr postgresql tensorflow experi month experi junior backend develop internship internship frontend develop digit market agenc project develop userfriendli dashboard power bi certif microsoft certifi azur fundament
Cloud Security Engineer,"Skills: React, Scrum, Data Analysis, Database Management, Azure. Experience: Worked as a software engineer intern for 6 months. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Created a game using Unity and C#. Certifications: Oracle Certified Professional.",skill react scrum datum analysis database management azure experience work software engineer intern   month internship month internship def cybersecurity firm focus ethical hack project create game unity c certification oracle certify professional,skill react scrum datum analysi databas manag azur experi work softwar engin intern month internship month internship def cybersecur firm focu ethic hack project creat game uniti c certif oracl certifi profession
Penetration Tester,"Skills: Microservices, Windows Server, Oracle, Java, C++. Experience: 5 years of experience in cloud infrastructure management. Internships: Completed an internship as a network engineer. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Microsoft Certified: Azure Fundamentals.",skill microservice windows server oracle java c experience   year experience cloud infrastructure management internship complete internship network engineer project design deploy secure vpn corporate network certification microsoft certify azure fundamental,skill microservic window server oracl java c experi year experi cloud infrastructur manag internship complet internship network engin project design deploy secur vpn corpor network certif microsoft certifi azur fundament
Game Developer,"Skills: Penetration Testing, System Monitoring, Machine Learning, React, Python. Experience: Experience in developing and managing databases for large-scale applications. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Certified Ethical Hacker (CEH).",skill penetration testing system monitor machine learn react python experience experience develop manage database largescale application internship complete internship xyz software work cloud infrastructure project design microservice architecture largescale web application certification certify ethical hacker ceh,skill penetr test system monitor machin learn react python experi experi develop manag databas largescal applic internship complet internship xyz softwar work cloud infrastructur project design microservic architectur largescal web applic certif certifi ethic hacker ceh
Game Developer,"Skills: ERP Implementation, TensorFlow, Machine Learning, CI/CD, Java. Experience: Handled technical support for enterprise-level systems. Internships: Completed an internship as a network engineer. Projects: Created a mobile app for e-commerce platforms. Certifications: AWS Certified Solutions Architect.",skill erp implementation tensorflow machine learn cicd java experience handle technical support enterpriselevel system internship complete internship network engineer project create mobile app ecommerce platform certification aw certify solution architect,skill erp implement tensorflow machin learn cicd java experi handl technic support enterpriselevel system internship complet internship network engin project creat mobil app ecommerc platform certif aw certifi solut architect
DevSecOps Engineer,"Skills: Linux, System Monitoring, Data Mining, Machine Learning, Network Administration. Experience: Experience in designing and implementing machine learning algorithms. Internships: Completed an internship as a network engineer. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: PMP Certified Project Manager.",skill linux system monitor data mining machine learn network administration experience experience design implement machine learn algorithm internship complete internship network engineer project implement cicd pipeline jenkin certification pmp certify project manager,skill linux system monitor data mine machin learn network administr experi experi design implement machin learn algorithm internship complet internship network engin project implement cicd pipelin jenkin certif pmp certifi project manag
Data Analyst,"Skills: System Monitoring, DevOps, API Development, Penetration Testing, Windows Server. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: 3-month internship at a mobile app development firm. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Certified Kubernetes Administrator (CKA).",skill system monitor devop api development penetration test window server experience lead project deploy cloud solution multiple team internship month internship mobile app development firm project design microservice architecture largescale web application certification certify kubernetes administrator cka,skill system monitor devop api develop penetr test window server experi lead project deploy cloud solut multipl team internship month internship mobil app develop firm project design microservic architectur largescal web applic certif certifi kubernet administr cka
Data Scientist,"Skills: Python, Agile Methodologies, Java, Oracle, Kubernetes. Experience: Experience in developing and managing databases for large-scale applications. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Developed an AI-based resume screening application. Certifications: Cisco Certified Network Associate (CCNA).",skill python agile methodology java oracle kubernetes experience experience develop manage database largescale application internship month internship def cybersecurity firm focus ethical hack project develop aibased resume screening application certification cisco certify network associate ccna,skill python agil methodolog java oracl kubernet experi experi develop manag databas largescal applic internship month internship def cybersecur firm focu ethic hack project develop aibas resum screen applic certif cisco certifi network associ ccna
DevSecOps Engineer,"Skills: Machine Learning, Deep Learning, ERP Implementation, Penetration Testing, Agile Methodologies. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Certified ScrumMaster (CSM).",skill machine learn deep learn erp implementation penetration test agile methodology experience lead project deploy cloud solution multiple team internship complete internship xyz software work cloud infrastructure project develop cloudbase backup system enterprise datum certification certify scrummaster csm,skill machin learn deep learn erp implement penetr test agil methodolog experi lead project deploy cloud solut multipl team internship complet internship xyz softwar work cloud infrastructur project develop cloudbas backup system enterpris datum certif certifi scrummast csm
Backend Developer,"Skills: Angular, ERP Implementation, Docker, Penetration Testing, Windows Server. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Worked as an intern in IT support for a fintech company. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Certified ScrumMaster (CSM).",skill angular erp implementation docker penetration test window server experience   year experience data scientist multinational company internship work intern support fintech company project develop cloudbase backup system enterprise datum certification certify scrummaster csm,skill angular erp implement docker penetr test window server experi year experi data scientist multin compani internship work intern support fintech compani project develop cloudbas backup system enterpris datum certif certifi scrummast csm
Site Reliability Engineer,"Skills: Azure, API Development, Keras, Docker, Penetration Testing. Experience: Experience in developing and managing databases for large-scale applications. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Built a blockchain application for supply chain management. Certifications: Certified ScrumMaster (CSM).",skill azure api development keras docker penetration testing experience experience develop manage database largescale application internship intern pqr system ai machine learning project build blockchain application supply chain management certification certify scrummaster csm,skill azur api develop kera docker penetr test experi experi develop manag databas largescal applic internship intern pqr system ai machin learn project build blockchain applic suppli chain manag certif certifi scrummast csm
Software Engineer,"Skills: Java, API Development, Windows Server, Docker, JavaScript. Experience: Experience in developing and managing databases for large-scale applications. Internships: Internship in frontend development at a digital marketing agency. Projects: Created a mobile app for e-commerce platforms. Certifications: Oracle Certified Professional.",skill java api development windows server docker javascript experience experience develop manage database largescale application internship internship frontend development digital marketing agency project create mobile app ecommerce platform certification oracle certify professional,skill java api develop window server docker javascript experi experi develop manag databas largescal applic internship internship frontend develop digit market agenc project creat mobil app ecommerc platform certif oracl certifi profession
Data Engineer,"Skills: Linux, Data Analysis, Virtualization, Keras, Machine Learning. Experience: Experience in designing and implementing machine learning algorithms. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Created a mobile app for e-commerce platforms. Certifications: Certified Kubernetes Administrator (CKA).",skill linux datum analysis virtualization keras machine learn experience experience design implement machine learn algorithm internship month internship def cybersecurity firm focus ethical hack project create mobile app ecommerce platform certification certify kubernetes administrator cka,skill linux datum analysi virtual kera machin learn experi experi design implement machin learn algorithm internship month internship def cybersecur firm focu ethic hack project creat mobil app ecommerc platform certif certifi kubernet administr cka
Technical Support Engineer,"Skills: Agile Methodologies, Incident Response, Docker, Scrum, Data Analysis. Experience: Worked as a software engineer intern for 6 months. Internships: Worked as an intern in IT support for a fintech company. Projects: Created a mobile app for e-commerce platforms. Certifications: Oracle Certified Professional.",skill agile methodology incident response docker scrum datum analysis experience work software engineer intern   month internship work intern support fintech company project create mobile app ecommerce platform certification oracle certify professional,skill agil methodolog incid respons docker scrum datum analysi experi work softwar engin intern month internship work intern support fintech compani project creat mobil app ecommerc platform certif oracl certifi profession
Network Engineer,"Skills: API Development, Database Management, Docker, Oracle, Machine Learning. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Oracle Certified Professional.",skill api development database management docker oracle machine learning experience lead project deploy cloud solution multiple team internship month internship def cybersecurity firm focus ethical hack project develop userfriendly dashboard power bi certification oracle certify professional,skill api develop databas manag docker oracl machin learn experi lead project deploy cloud solut multipl team internship month internship def cybersecur firm focu ethic hack project develop userfriendli dashboard power bi certif oracl certifi profession
Embedded Systems Engineer,"Skills: Keras, Incident Response, API Development, System Monitoring, ERP Implementation. Experience: Experience in designing and implementing machine learning algorithms. Internships: Worked as an intern in IT support for a fintech company. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: PMP Certified Project Manager.",skill keras incident response api development system monitor erp implementation experience experience design implement machine learn algorithm internship work intern support fintech company project design deploy secure vpn corporate network certification pmp certify project manager,skill kera incid respons api develop system monitor erp implement experi experi design implement machin learn algorithm internship work intern support fintech compani project design deploy secur vpn corpor network certif pmp certifi project manag
Mobile App Developer,"Skills: AWS, Windows Server, Agile Methodologies, ERP Implementation, Python. Experience: 4 years of experience in IT security operations. Internships: Worked as an intern in IT support for a fintech company. Projects: Developed a chatbot using Python and machine learning. Certifications: Certified Ethical Hacker (CEH).",skill aws window server agile methodology erp implementation python experience   year experience security operation internship work intern support fintech company project develop chatbot python machine learn certification certify ethical hacker ceh,skill aw window server agil methodolog erp implement python experi year experi secur oper internship work intern support fintech compani project develop chatbot python machin learn certif certifi ethic hacker ceh
ERP Consultant,"Skills: Incident Response, Node.js, SQL, Keras, Azure. Experience: 3 years of experience in developing full-stack applications. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Certified ScrumMaster (CSM).",skill incident response nodejs sql keras azure experience   year experience develop fullstack application internship intern abc tech solution focus system analysis project design microservice architecture largescale web application certification certify scrummaster csm,skill incid respons nodej sql kera azur experi year experi develop fullstack applic internship intern abc tech solut focu system analysi project design microservic architectur largescal web applic certif certifi scrummast csm
IoT Developer,"Skills: AWS, Linux, Cybersecurity, Database Management, JavaScript. Experience: 5 years of experience in cloud infrastructure management. Internships: Interned as a data engineer at MNO Data Labs. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Certified Kubernetes Administrator (CKA).",skill aws linux cybersecurity database management javascript experience   year experience cloud infrastructure management internship intern data engineer mno data lab project implement cicd pipeline jenkin certification certify kubernetes administrator cka,skill aw linux cybersecur databas manag javascript experi year experi cloud infrastructur manag internship intern data engin mno data lab project implement cicd pipelin jenkin certif certifi kubernet administr cka
Release Manager,"Skills: Oracle, Scrum, API Development, Virtualization, DevOps. Experience: Experience in designing and implementing machine learning algorithms. Internships: Completed an internship as a network engineer. Projects: Developed a chatbot using Python and machine learning. Certifications: PMP Certified Project Manager.",skill oracle scrum api development virtualization devop experience experience design implement machine learn algorithm internship complete internship network engineer project develop chatbot python machine learn certification pmp certify project manager,skill oracl scrum api develop virtual devop experi experi design implement machin learn algorithm internship complet internship network engin project develop chatbot python machin learn certif pmp certifi project manag
Information Security Manager,"Skills: AWS, Cloud Computing, API Development, Scrum, PostgreSQL. Experience: 5 years of experience in cloud infrastructure management. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Certified ScrumMaster (CSM).",skill aws cloud computing api development scrum postgresql experience   year experience cloud infrastructure management internship month internship def cybersecurity firm focus ethical hack project design deploy secure vpn corporate network certification certify scrummaster csm,skill aw cloud comput api develop scrum postgresql experi year experi cloud infrastructur manag internship month internship def cybersecur firm focu ethic hack project design deploy secur vpn corpor network certif certifi scrummast csm
Scrum Master,"Skills: CI/CD, System Monitoring, ERP Implementation, AWS, TensorFlow. Experience: Handled technical support for enterprise-level systems. Internships: Interned at a leading game development company. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Cisco Certified Network Associate (CCNA).",skill cicd system monitor erp implementation aws tensorflow experience handle technical support enterpriselevel system internship intern lead game development company project implement cicd pipeline jenkins certifications cisco certify network associate ccna,skill cicd system monitor erp implement aw tensorflow experi handl technic support enterpriselevel system internship intern lead game develop compani project implement cicd pipelin jenkin certif cisco certifi network associ ccna
